OS	Data_Solicitacao	Cliente	Tipo_Cliente	Quem_Solicitou	Produto	Valor_OS	Transportadora	Valor_Envio	Rastreio	Quem_Autorizou	Status	Prazo_Entrega_Dias
180087	2025-08-01	Axiom Tecnologia	PJ	Filial Regional	Cabo USB-C	113.36	Uber	49.67	S/N	Igor	Entregue	0
181241	2025-08-01	Aline Serpa	PF	Cliente direto	Acessórios diversos	344.14	Correios	46.14	AD720307949BR	Renan	Entregue	2
180319	2025-08-02	Beluga Advocacia	PJ	Filial Regional	Mac Mini	6018.76	FOX	326.81	6478790550	Renan	Entregue	6
181000	2025-08-06	Metrópole Logística	PJ	Filial Regional	Apple Watch	0.01	Correios	51.15	AD148941344BR	Marcelo	Entregue	6
180763	2025-08-06	Gabriel Torquato	PF	Cliente direto	Cabo USB-C	110.87	DHL	152.72	2323040504	Diego	Entregue	3
180866	2025-08-06	Cedro Participações	PJ	Filial Regional	MacBook Pro 16	22608.18	Uber	48.01	S/N	Diego	Entregue	0
180239	2025-08-07	Cedro Participações	PJ	Filial Regional	AirPods Pro	0.01	Correios Seguro	88.66	AD865603224BR	Igor	Pendente de envio	
180171	2025-08-08	Cristiane Bittencourt	PF	Cliente direto	Apple Watch	3287.79	Retirada no balcão	0	S/N	Igor	Entregue	0
181298	2025-08-08	Cristiane Bittencourt	PF	Cliente direto	Magic Mouse	0.01	DHL	148.1	9921234767	Renan	Entregue	5
181271	2025-08-10	Leonardo Guimarães	PF	Cliente direto	Cabo USB-C	110.45	DHL	168.91	6931921950	Diego	Entregue	4
180496	2025-08-11	Bem-Estar Hospitalar	PJ	Filial Regional	MacBook Pro 16	0.01	Correios	127.81	AD380418002BR	Marcelo	Entregue	4
180904	2025-08-11	Simone Aragão	PF	Cliente direto	iPhone 14	0.01	Correios	94.11	AD514095622BR	Diego	Entregue	3
180269	2025-08-12	Aline Serpa	PF	Cliente direto	Trackpad	763.11	Retirada no balcão	0	S/N	Sabrina	Entregue	1
180736	2025-08-12	Débora Farias	PF	Cliente direto	Magic Mouse	577.13	Correios Seguro	38.94	AD513475583BR	Igor	Entregue	7
180535	2025-08-12	Ventura Seguros	PJ	Filial Regional	AirPods Pro	1908.96	DHL	165.83	6567193628	Sabrina	Entregue	8
181145	2025-08-14	Gabriel Torquato	PF	Cliente direto	AirPods Pro	0.01	Correios	78.84	AD114602968BR	Sabrina	Pendente de envio	
180414	2025-08-14	Ipê Educacional	PJ	Filial Regional	AirPods Pro	1739.8	Retirada no balcão	0	S/N	Sabrina	Em trânsito	
180056	2025-08-14	Aliança Cooperativa	PJ	Filial Regional	MacBook Air	8779.78	Correios Seguro	142.75	AD758995368BR	Diego	Entregue	4
180900	2025-08-17	Bem-Estar Hospitalar	PJ	Filial Regional	Mac Mini	0.01	DHL	304.96	2183039162	Renan	Entregue	4
180666	2025-08-17	Priscila Nogueira	PF	Cliente direto	iMac	13013.92	FOX	458.43	5141703189	Sabrina	Entregue	1
181332	2025-08-19	Vórtice Consultoria	PJ	Filial Regional	Trackpad	944.02	Retirada no balcão	0	S/N	Igor	Entregue	0
180716	2025-08-20	Sabrina Peixoto	PF	Cliente direto	iPad Pro	9439.88	DHL	227.53	5857194880	Patrícia	Entregue	4
181362	2025-08-20	Sabrina Peixoto	PF	Cliente direto	Magic Mouse	0.01	DHL	214.46	2723886999	Sabrina	Em trânsito	
180954	2025-08-21	Vórtice Consultoria	PJ	Filial Regional	iPad Pro	11260.61	FOX	268.79	5468706697	Vanessa	Entregue	4
180639	2025-08-21	Fortaleza Cimentos	PJ	Filial Regional	iMac	0.01	Correios Seguro	148.34	AD194034249BR	Patrícia	Entregue	6
180140	2025-08-21	Ventura Seguros	PJ	Filial Regional	iPad	4047.49	DHL	238.45	6435557159	Igor	Pendente de envio	
181353	2025-08-22	Otávio Marinho	PF	Cliente direto	MacBook Air	10549.78	Correios Seguro	102.94	AD243230568BR	Igor	Entregue	3
