OS,Data_Solicitacao,Cliente,Tipo_Cliente,Quem_Solicitou,Produto,Valor_OS,Transportadora,Valor_Envio,Rastreio,Quem_Autorizou,Status,Prazo_Entrega_Dias
180087,2025-08-01,Axiom Tecnologia,PJ,Filial Regional,Cabo USB-C,99.68,Uber,33.74,S/N,Igor,Entregue,3.0
181241,2025-08-01,Aline Serpa,PF,Cliente direto,Acessórios diversos,365.67,Correios,50.42,AD720307949BR,Renan,Entregue,2.0
180319,2025-08-02,Beluga Advocacia,PJ,Filial Regional,Mac Mini,6835.03,FOX,293.49,6478790550,Renan,Entregue,10.0
181000,2025-08-06,Metrópole Logística,PJ,Filial Regional,Apple Watch,0.01,Correios,94.83,AD148941344BR,Marcelo,Entregue,4.0
180763,2025-08-06,Gabriel Torquato,PF,Cliente direto,Cabo USB-C,124.6,DHL,159.73,2323040504,Diego,Entregue,6.0
180866,2025-08-06,Cedro Participações,PJ,Filial Regional,MacBook Pro 16,23394.1,Uber,37.39,S/N,Diego,Entregue,4.0
180239,2025-08-07,Cedro Participações,PJ,Filial Regional,AirPods Pro,0.01,Correios Seguro,31.73,AD865603224BR,Igor,Pendente de envio,
180171,2025-08-08,Cristiane Bittencourt,PF,Cliente direto,Apple Watch,3098.1,Retirada no balcão,0.0,S/N,Igor,Entregue,5.0
181298,2025-08-08,Cristiane Bittencourt,PF,Cliente direto,Magic Mouse,0.01,DHL,161.11,9921234767,Renan,Entregue,2.0
181271,2025-08-10,Leonardo Guimarães,PF,Cliente direto,Cabo USB-C,105.46,DHL,152.45,6931921950,Diego,Entregue,3.0
180496,2025-08-11,Bem-Estar Hospitalar,PJ,Filial Regional,MacBook Pro 16,0.01,Correios,125.79,AD380418002BR,Marcelo,Entregue,7.0
180904,2025-08-11,Simone Aragão,PF,Cliente direto,iPhone 14,0.01,Correios,105.05,AD514095622BR,Diego,Entregue,7.0
180269,2025-08-12,Aline Serpa,PF,Cliente direto,Trackpad,780.32,Retirada no balcão,0.0,S/N,Sabrina,Entregue,4.0
180736,2025-08-12,Débora Farias,PF,Cliente direto,Magic Mouse,564.56,Correios Seguro,15.0,AD513475583BR,Igor,Entregue,3.0
180535,2025-08-12,Ventura Seguros,PJ,Filial Regional,AirPods Pro,1033.04,DHL,120.36,6567193628,Sabrina,Entregue,8.0
181145,2025-08-14,Gabriel Torquato,PF,Cliente direto,AirPods Pro,0.01,Correios,80.03,AD114602968BR,Sabrina,Pendente de envio,
180414,2025-08-14,Ipê Educacional,PJ,Filial Regional,AirPods Pro,1791.76,Retirada no balcão,0.0,S/N,Sabrina,Em trânsito,
180056,2025-08-14,Aliança Cooperativa,PJ,Filial Regional,MacBook Air,8779.78,Correios Seguro,142.75,AD758995368BR,Diego,Entregue,4.0
180900,2025-08-17,Bem-Estar Hospitalar,PJ,Filial Regional,Mac Mini,0.01,DHL,347.98,2183039162,Renan,Entregue,3.0
180666,2025-08-17,Priscila Nogueira,PF,Cliente direto,iMac,13707.0,FOX,473.12,5141703189,Sabrina,Entregue,2.0
181332,2025-08-19,Vórtice Consultoria,PJ,Filial Regional,Trackpad,647.82,Retirada no balcão,0.0,S/N,Igor,Entregue,1.0
180716,2025-08-20,Sabrina Peixoto,PF,Cliente direto,iPad Pro,9560.02,DHL,260.53,5857194880,Patrícia,Entregue,2.0
181362,2025-08-20,Sabrina Peixoto,PF,Cliente direto,Magic Mouse,0.01,DHL,214.46,2723886999,Sabrina,Em trânsito,
180954,2025-08-21,Vórtice Consultoria,PJ,Filial Regional,iPad Pro,11666.12,FOX,210.94,5468706697,Vanessa,Entregue,2.0
180639,2025-08-21,Fortaleza Cimentos,PJ,Filial Regional,iMac,0.01,Correios Seguro,180.25,AD194034249BR,Patrícia,Entregue,8.0
180140,2025-08-21,Ventura Seguros,PJ,Filial Regional,iPad,3525.89,DHL,259.04,6435557159,Igor,Pendente de envio,
181353,2025-08-22,Otávio Marinho,PF,Cliente direto,MacBook Air,10549.78,Correios Seguro,102.94,AD243230568BR,Igor,Entregue,3.0
181140,2025-08-24,Cristiane Bittencourt,PF,Cliente direto,Mac Mini,0.01,Retirada no balcão,0.0,S/N,Igor,Entregue,5.0
180966,2025-08-25,Marcos Aurélio Vieira,PF,Cliente direto,iPhone 15 Pro,9112.58,Correios,72.46,AD847328970BR,Marcelo,Devolvido,
181060,2025-08-25,Priscila Nogueira,PF,Cliente direto,MacBook Air,9712.63,FOX,352.09,2736697935,Sabrina,Entregue,2.0
181235,2025-08-26,Henrique Salgado,PF,Cliente direto,iPhone 14,4634.31,Retirada no balcão,0.0,S/N,Igor,Entregue,2.0
180152,2025-08-26,Ipê Educacional,PJ,Filial Regional,iPad,3838.14,Correios Seguro,54.66,AD381207931BR,Sabrina,Entregue,1.0
180633,2025-08-27,Sabrina Peixoto,PF,Cliente direto,iMac,12047.8,Correios,180.31,AD694882621BR,Igor,Em trânsito,
180802,2025-08-28,Litoral Alimentos,PJ,Filial Regional,Mac Mini,4393.96,Retirada no balcão,0.0,S/N,Sabrina,Entregue,2.0
180566,2025-09-01,Henrique Salgado,PF,Cliente direto,Apple Watch,3218.44,DHL,194.25,6934943422,Patrícia,Entregue,5.0
181254,2025-09-03,Leonardo Guimarães,PF,Cliente direto,Carregador,272.85,Correios,65.31,AD252567513BR,Igor,Pendente de envio,
180873,2025-09-04,Aline Serpa,PF,Cliente direto,Apple Watch,0.01,FOX,217.56,9634514484,Patrícia,Entregue,6.0
181217,2025-09-05,Igor Bezerra,PF,Cliente direto,iPhone 14,0.01,DHL,200.83,6431623030,Diego,Devolvido,
